الكليات المضافة,الوقت,اليوم,الفرع,NRC,الشعبة,نوعه,رقم المقرر,اسم المقرر
كلية العلوم الطبية التطبيقية,2259-2230,ح,طالبات,73212,نx,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب  كلية العلوم الزراعية,2325-2300,ح,طالبات,73213,نy,اجباري,1900-102,الثقافة اإلسالمية
كلية الهندسة,2359-2330,ح,طالبات,73214,نZ,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب  كلية العلوم,1825-1800,ث,طالب,73215,نA,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1859-1830,ث,طالب,73216,نB,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الشريعة كلية التربية  كلية إدارة االعمال,1925-1900,ث,طالب,73217,نC,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1959-1930,ث,طالبات,73218,نD,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الطب البيطري,2025-2000,ث,طالبات,73219,نE,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الشريعة كلية العلوم  كلية التربية,2059-2030,ث,طالبات,73222,نF,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2125-2100,ث,طالبات,73223,نG,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,2159-2130,ث,طالب,73225,نA,اختياري,1900-112,الدواء النوع واالستخدام
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,2225-2200,ث,طالب,73227,نB,اختياري,1900-112,الدواء النوع واالستخدام
كلية الشريعة كلية التربية  كلية إدارة االعمال,2259-2230,ث,طالب,73229,نC,اختياري,1900-112,الدواء النوع واالستخدام
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,2325-2300,ث,طالبات,73231,نD,اختياري,1900-112,الدواء النوع واالستخدام
كلية الطب البيطري,2359-2330,ث,طالبات,73233,نE,اختياري,1900-112,الدواء النوع واالستخدام
كلية الشريعة كلية العلوم  كلية التربية,1825-1800,ر,طالبات,73235,نF,اختياري,1900-112,الدواء النوع واالستخدام
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,1859-1830,ر,طالبات,73238,نG,اختياري,1900-112,الدواء النوع واالستخدام
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1925-1900,ر,طالب,73241,نA,اختياري,1900-110,مهارات البحث
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1959-1925,ر,طالب,73243,نB,اختياري,1900-110,مهارات البحث
كلية الشريعة كلية التربية  كلية إدارة االعمال,2025-2000,ر,طالب,73245,نC,اختياري,1900-110,مهارات البحث
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,2059-2030,ر,طالبات,73246,نD,اختياري,1900-110,مهارات البحث
كلية الطب البيطري,2125-2100,ر,طالبات,73247,نE,اختياري,1900-110,مهارات البحث
كلية الشريعة كلية العلوم  كلية التربية,2159-2130,ر,طالبات,73249,نF,اختياري,1900-110,مهارات البحث
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2225-2200,ر,طالبات,73251,نG,اختياري,1900-110,مهارات البحث
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1825-1800,خ,طالب,73253,نA,اختياري,1900-108,اساسيات ريادة االعمال
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1859-1830,خ,طالب,73256,نB,اختياري,1900-108,اساسيات ريادة االعمال
كلية الشريعة كلية التربية  كلية إدارة االعمال,1925-1900,خ,طالب,73258,نC,اختياري,1900-108,اساسيات ريادة االعمال
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1959-1930,خ,طالبات,73261,نD,اختياري,1900-108,اساسيات ريادة االعمال
كلية الطب البيطري,2025-2000,خ,طالبات,73264,نE,اختياري,1900-108,اساسيات ريادة االعمال
كلية الشريعة كلية العلوم  كلية التربية,2059-2030,خ,طالبات,73266,نF,اختياري,1900-108,اساسيات ريادة االعمال
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2125-2100,خ,طالبات,73269,نG,اختياري,1900-108,اساسيات ريادة االعمال
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1959-1930,خ,طالب,73274,نA,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,2025-2000,خ,طالب,73278,نB,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الشريعة كلية التربية  كلية إدارة االعمال,2059-2030,خ,طالب,73282,نC,اختياري,1900-116,اساسيات االستدامه البيئية
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1825-1800,خ,طالبات,73286,نD,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الطب البيطري,1859-1830,خ,طالبات,73293,نE,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الشريعة كلية العلوم  كلية التربية,1925-1900,خ,طالبات,73296,نF,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2159-2130,خ,طالبات,73299,نG,اختياري,1900-116,اساسيات االستدامه البيئية
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  الكليات المضافة,الوقت,اليوم,الفرع,NRC,الشعبة,نوعه,رقم المقرر,اسم المقرر
جميع طالب الجامعة دفعة 7102 فمادو,2359-2330,ح,طالب,73304,نA,اجباري,ر1ة01-1047,عقيدة اإلسالمية والمذاهب المعاص
جميع طالب الجامعة دفعة 7102 فمادو,2359-2330,ن,طالب,73307,نA,إجباري,7401-301,قضايا ثقافية معاصرة
جميع طالب الجامعة دفعة 7102 فمادو,1925-1900,ر,طالب,73309,نA,اختياري,7401-317,األخالق اإلسالمية وآداب المهنة
جميع طالب الجامعة دفعة 7102 فمادو,1925-1900,ث,طالب,73312,نA,اختياري,7401-401,النظام االجتماعي في اإلسالم
ميع طالبات الجامعة دفعة 7102 فمادو,00.32-52.3ج2,ن,طالبات,73318,نB,إجباري,ر1ة01-1047,عقيدة اإلسالمية والمذاهب المعاص
ميع طالبات الجامعة دفعة 7102 فمادو,00.32-52.3ج2,ح,طالبات,73320,نB,إجباري,7401-301,قضايا ثقافية معاصرة
ميع طالبات الجامعة دفعة 7102 فمادو,00.12-52.1ج2,ر,طالبات,73322,نB,اختياري,7401-317,األخالق اإلسالمية وآداب المهنة
ميع طالبات الجامعة دفعة 7102 فمادو,00.12-52.1ج2,ث,طالبات,73324,نB,اختياري,7401-401,النظام االجتماعي في اإلسالم
